Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=NIkzSBjVp8s,child directed,Toys,ad shows different doll houses and figurines,
https://www.youtube.com/watch?v=ZxKXWhpObKQ,child directed,Toys,ad showing toy monster trucks and animations of trucks going through debris,
https://www.youtube.com/watch?v=72eS19X7Tyw,child directed,Toys,ad showing collectable action figures in the shape of pirates and dinosaurs,
https://www.youtube.com/watch?v=7TzJd05NrxE,irrelevant,Software,ad showing different locations. based on an os for location intelligence?,
https://www.youtube.com/watch?v=knLEugyNYPM,irrelevant,Software,ad for a software that promotes home delivery of  pet food,
https://www.youtube.com/watch?v=H-4W7cbO3gc,child directed,Toys,ad showing girl playing with a tiny figurine,
https://www.youtube.com/watch?v=FKZTS__QA4Q,child directed,Toys,animation about a girl and a cat. end product is a toy dollhouse,
https://www.youtube.com/watch?v=w0I6j4MVfBk,child directed,Movies,shos a trailer of a reanimated movie based on the famous disney character the little mermaid,
https://www.youtube.com/watch?v=Ng3c6jkUpAs,irrelevant,Software,software about digital security. shows features about the application,
https://www.youtube.com/watch?v=HEaikVlUgMY,irrelevant,Software,Adobe acrobat PDF features promoted,
https://www.youtube.com/watch?v=WG5bVsbROz4,irrelevant,Software,Adobe acrobat PDF features promoted,
https://www.youtube.com/watch?v=-pZQ1msCIys,irrelevant,Software,software ad promoting tax refunds based on eligibility,
https://www.youtube.com/watch?v=w9qFbZ6vZOQ,irrelevant,Education & Learning,university talk on biotechnology,
https://www.youtube.com/watch?v=4pdb_4Pe0zI,irrelevant,Tech & Gadgets,ad about cellular packages on iphones,
https://www.youtube.com/watch?v=XVucWDw9l_k,irrelevant,Tech & Gadgets,ad about cellular packages on iphones,
https://www.youtube.com/watch?v=g_6cvRvW_lM,irrelevant,Autos & Vehicles,ad about car window cleaning product,
