Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=SAEW80hDsOk,irrelevant,Home and Lifestyle,ad about bathroom cleaning detergent. shows a women comparing them,
https://www.youtube.com/watch?v=FOb6OV_FiLQ,irrelevant,Machinery,ad about a metal processing company telling that their product is the best,
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together,
https://www.youtube.com/watch?v=tqkOFNE4CdM,irrelevant,Fashion,textile based application. shows two women discussing the product,
https://www.youtube.com/watch?v=OHiotm-WzYE,irrelevant,Fashion,"Stylo, ad on women's shoes. Product designed for adults",
https://www.youtube.com/watch?v=QBgRbQnp9Oo,inappropriate,Display of weapons,"music video in foreign language. shows a women weilding a gun without safety, firing at a human and blood/gore",Extreme
https://www.youtube.com/watch?v=lQWhcfM6V-k,irrelevant,Tech & Gadgets,ad about a smartphone.shows a model displaying the phone,
https://www.youtube.com/watch?v=rbqiDETBsyc,irrelevant,Education & Learning,ad about the standardised test toefl. ad tells about test advantage,
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,GoDaddy. domain provider. video focused on email domains,
https://www.youtube.com/watch?v=aXR2qwuRqek,irrelevant,Finance & Legal,"ad about raast, a pakistani money transfer application",
https://www.youtube.com/watch?v=7uQTdlx1K60,inappropriate,Physical Violence,"ad showing a music video on cambodia. while not vulgar, has depiction of martial arts and fights that would not be suitable for children",Extreme
https://www.youtube.com/watch?v=09XFWitL5ho,inappropriate,Offensive language,punjabi music video. lyrics contain themes of violence and inappropriate language,Moderate
https://www.youtube.com/watch?v=egz8WFlk9r4,child directed,Play and Adventure,ad about a child playing with toys. same channel as ad in row 187,
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together,
https://www.youtube.com/watch?v=gR1sFN15Ntk,irrelevant,Software,ad about an online b2b platform displaying its advantages,
https://www.youtube.com/watch?v=rutBKYlNfyM,irrelevant,Music & Performance,shows a kpop music video with the band dancing,
https://www.youtube.com/watch?v=G919it7dN6c,irrelevant,Tech & Gadgets,ad about a lamp that moves on its platform,
https://www.youtube.com/watch?v=JcSojjdqGtE,irrelevant,Home and Lifestyle,ad about a dishwashing liquid. man talking on his phone then greeting a woman,
https://www.youtube.com/watch?v=22D6eXrC4Q0,inappropriate,Gambling,ad about a betting platform for betting on sports matches,Moderate
https://www.youtube.com/watch?v=WOElP-BJ0ls,irrelevant,Music & Performance,choir based music. ,
https://www.youtube.com/watch?v=IFJpD1Z73ac,inappropriate,Inappropriate Clothing,trailer of a tamil movie. shows partial nudity,Mild
https://www.youtube.com/watch?v=IX3_QifUVNc,child directed,Health and Hygiene for Kids,ad about detol soap. aimed for use by children,
https://www.youtube.com/watch?v=0d1mlqnRdyQ,excluded,,private,
https://www.youtube.com/watch?v=uPuvbkHiJuw,irrelevant,Tech & Gadgets,ad about air con. shows a family sitting in a hot environment ,
https://www.youtube.com/watch?v=rlWRBexRHWE,irrelevant,Home and Lifestyle,shows two scientists trying to create a detergent,
https://www.youtube.com/watch?v=6WU-iE6KkRU,irrelevant,Music & Performance,music beat,
https://www.youtube.com/watch?v=PoUvDV-wRkk,inappropriate,Sexual content,"music video, shows forced sexual content/ inapporpriate physical contact",Moderate
https://www.youtube.com/watch?v=oabFMRhC4zU,inappropriate,Gambling,ad about a betting platform for betting on sports matches,Moderate
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together,
https://www.youtube.com/watch?v=MRbT7AcRd-o,inappropriate,Physical Violence,punjabi music video. shows physical violence of person slapping gang member,Moderate
https://www.youtube.com/watch?v=MJvrztRzljg,irrelevant,Travel & Adventure,shows a couple touring houston,
https://www.youtube.com/watch?v=i--qBLB_Wfg,irrelevant,Travel & Adventure,shows a restort with multiple activities. shows complete families attending recreational activities,
https://www.youtube.com/watch?v=wYnB2Nwc9OA,irrelevant,Finance & Legal,about a financial service,
https://www.youtube.com/watch?v=-IbeQn7o5tI,irrelevant,Travel & Adventure,ad about turkish airlines giving special offers to passengers to explore different areas,
https://www.youtube.com/watch?v=1tTqBVw8Wyk,irrelevant,Food and Cooking,ad showing a family feast. ad about spices,
https://www.youtube.com/watch?v=hfgPlWQim4U,irrelevant,Food and Cooking,ad about biscuits. shows friends eating in a group setting,
https://www.youtube.com/watch?v=zBRQ8r1IfmA,inappropriate,Gambling,ad focuses on gambling on sports. not appropriate for children,Moderate
https://www.youtube.com/watch?v=PiubytzLmOE,irrelevant,Food and Cooking,ad about carbonated beverage. contains animations but not directed specifically towards children,
https://www.youtube.com/watch?v=J8BCHk8qoFI,irrelevant,Health and Wellness,ad about female sanitary napkins. not relevant to children,
https://www.youtube.com/watch?v=yA7Nffk-p84,child directed,Cartoons,local animation of a kid in a farm setting,
https://www.youtube.com/watch?v=cMIP6itbQZs,irrelevant,Tech & Gadgets,ad promoting camera lenses and showing different models,
