Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=ytxBLEGRh34,irrelevant,Business & Entrepreneurship,-,ad pertains to a store which sells appliances (electro depot)
https://www.youtube.com/watch?v=9u0J7rPvXnI,inappropriate,Inappropriate Clothing,moderate,ad pertains to a music video; scontains inappropriate clothing along with inappropriate dancing with strong sexual undertones
https://www.youtube.com/watch?v=rwdLyzYmQDY,irrelevant,Software,-,ad pertains to a search engine that plants trees (ecosia);  not irrelevant to teens because it shows kids planting trees and a student using the search engine; chosen teen directed since teens are a potential target audience for this search engine
https://www.youtube.com/watch?v=VYOIyzA9JD0,inappropriate,Physical Violence,mild,ad pertains the to movie: Dungeons and Dragons:Honur of Theives; it is rated PG13
https://www.youtube.com/watch?v=4M3co8W1zZ8,irrelevant,Travel & Adventure,-,ad pertains to Qubec as a vacation destination
https://www.youtube.com/watch?v=Q0U2zgipGlw,child directed,Toys,-,ad pertains to Airbrush plush toys
https://www.youtube.com/watch?v=SpIoK6iXPfE,irrelevant,Tech & Gadgets,-,ad pertains to Breakaway Support by Snapmaker that helps while 3d printing models
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=ZIlihJvmhVk,irrelevant,Software,-,ad pertains to file format manipulation APIs by Conholdate
https://www.youtube.com/watch?v=LUN9TWbOgXc,irrelevant,Software,-,ad pertains to a search engine that plants trees (ecosia);  not irrelevant to teens because it shows kids planting trees and a student using the search engine; chosen teen directed since teens are a potential target audience for this search engine
https://www.youtube.com/watch?v=ppld4dlZTzI,irrelevant,Finance & Legal,-,ad pertains to insurance for motorcyclists
https://www.youtube.com/watch?v=O0nzNip2KjY,irrelevant,Business & Entrepreneurship,-,"ad pertains to Krypters Eyes, that turns eye pictures into art and NFTs"
https://www.youtube.com/watch?v=yhRb6o-8DSY,irrelevant,Software,-,ad pertains to a search engine that plants trees (ecosia); not irrelevant to teens because it shows kids in the frame while firefighters plant trees and a student using the search engine; chosen teen directed since teens are a potential target audience for this search engine
https://www.youtube.com/watch?v=5_fp6OVrQek,irrelevant,Software,-,ad pertains to airbnb
https://www.youtube.com/watch?v=3TycVod42zQ,child directed,DIY & Arts and Crafts,-,ad pertains to building props as depicted by a cartoon
https://www.youtube.com/watch?v=gTQddBYiHOM,irrelevant,Software,-,"ad pertains to Yeti Learn, a platform where one can learn to code"
https://www.youtube.com/watch?v=2yQ7JnrdO5A,child directed,Cartoons,-,ad pertains to a clip from Gabby's Dollhouse (in French)
https://www.youtube.com/watch?v=GsOh-Kvy6pE,irrelevant,Software,-,ad pertains to airbnb
https://www.youtube.com/watch?v=7LzSw5cHSfs,inappropriate,Physical Violence,mild,ad pertains to season 3 of the Mandalorian (rated TV 14+ and hence inappropriate for children of age 14 or below)
https://www.youtube.com/watch?v=d5WnunFXMBU,irrelevant,Education & Learning,-,ad pertains to an animated clip promoting an exhibition about rivers and their issues
https://www.youtube.com/watch?v=LXDLd1LKq7g,child directed,Educational Content,-,"ad pertains to J AIMELIRE, which is a literary magazine for children"
https://www.youtube.com/watch?v=TWsambmmUxs,irrelevant,Software,-,ad pertains to YubiKey; a usb key for authentication
https://www.youtube.com/watch?v=HV6N6IKBJ9M,irrelevant,Software,-,"ad pertains to Cvent, which is an all in one platform for creating events and managing their details"
https://www.youtube.com/watch?v=oNQTXw-zMag,irrelevant,Software,-,"ad pertains to Opera browser, shows a teenager using pinterest on it"
https://www.youtube.com/watch?v=k2AWuvxP1sQ,irrelevant,Software,-,"ad pertains to Bitdefender, which is a security software"
https://www.youtube.com/watch?v=L3p74HLw_8M,irrelevant,Software,-,ad pertains WorkDay app 
https://www.youtube.com/watch?v=7rgkHKmUPGE,irrelevant,Travel & Adventure,-,ad pertains to Huttopia Camping Village
https://www.youtube.com/watch?v=kYG3qryo9sw,irrelevant,Software,-,ad pertains to a webapp for a furniture packing service
https://www.youtube.com/watch?v=3oynCski7Ns,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to a resort; a few frames show a few people drinking on a cruise ship
https://www.youtube.com/watch?v=a5pQPgoNP7Y,irrelevant,Home and Lifestyle,-,ad pertains to coworking spaces
https://www.youtube.com/watch?v=FgmZUfDFk1Y,irrelevant,Software,-,ad pertains to airbnb
